name,url,remote_testing,adaptive_irt,test_types,test_types_list,category,test_types_full,inferred_roles,embedding_text
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,False,False,"A
B
P","['A', 'B', 'P']",Individual Test Solutions,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']","['Manager', 'Team Lead']","Assessment Name: Branch Manager - Short Form. Assessment Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior. Ability & Aptitude assessment: Cognitive abilities such as numerical, verbal, and logical reasoning. Biodata & Situational Judgement assessment: Past behavior and situational decision-making. Personality & Behavior assessment: Personality traits, work style, and behavior. Suitable for roles such as Manager, Team Lead"
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,False,False,"B
A
P","['B', 'A', 'P']",Individual Test Solutions,"['Biodata & Situational Judgement', 'Ability & Aptitude', 'Personality & Behavior']",['General'],"Assessment Name: Cashier Solution. Assessment Type: Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior. Biodata & Situational Judgement assessment: Past behavior and situational decision-making. Ability & Aptitude assessment: Cognitive abilities such as numerical, verbal, and logical reasoning. Personality & Behavior assessment: Personality traits, work style, and behavior. Suitable for roles such as General"
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,False,False,"A
E
B
C
D
P","['A', 'E', 'B', 'C', 'D', 'P']",Individual Test Solutions,"['Ability & Aptitude', 'Assessment Exercises', 'Biodata & Situational Judgement', 'Competencies', 'Development & 360', 'Personality & Behavior']",['General'],"Assessment Name: Global Skills Development Report. Assessment Type: Ability & Aptitude, Assessment Exercises, Biodata & Situational Judgement, Competencies, Development & 360, Personality & Behavior. Ability & Aptitude assessment: Cognitive abilities such as numerical, verbal, and logical reasoning. Assessment Exercises assessment: Work-sample based assessment exercises. Biodata & Situational Judgement assessment: Past behavior and situational decision-making. Competencies assessment: Role-specific competencies and skills. Development & 360 assessment: Developmental feedback and growth assessment. Personality & Behavior assessment: Personality traits, work style, and behavior. Suitable for roles such as General"
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: .NET Framework 4.5. Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: .NET MVC (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: .NET MVVM (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: .NET WCF (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: .NET WPF (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: .NET XAML (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Accounts Payable (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,False,False,S,['S'],Individual Test Solutions,['Simulations'],['General'],Assessment Name: Accounts Payable Simulation (New). Assessment Type: Simulations. Simulations assessment: Realistic simulations of job tasks. Suitable for roles such as General
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Accounts Receivable (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,False,False,S,['S'],Individual Test Solutions,['Simulations'],['General'],Assessment Name: Accounts Receivable Simulation (New). Assessment Type: Simulations. Simulations assessment: Realistic simulations of job tasks. Suitable for roles such as General
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: ADO.NET (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],"['Manager', 'Team Lead']","Assessment Name: Adobe Experience Manager (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as Manager, Team Lead"
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Adobe Photoshop CC. Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['Engineer'],Assessment Name: Aeronautical Engineering (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as Engineer
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['Engineer'],Assessment Name: Aerospace Engineering (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as Engineer
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Agile Software Development. Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Agile Testing (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,False,False,P,['P'],Individual Test Solutions,['Personality & Behavior'],['General'],"Assessment Name: AI Skills. Assessment Type: Personality & Behavior. Personality & Behavior assessment: Personality traits, work style, and behavior. Suitable for roles such as General"
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Amazon Web Services (AWS) Development (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Android Development (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Angular 6 (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: AngularJS (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Apache Hadoop (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Apache Hadoop Extensions (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Apache HBase (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Apache Hive (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Apache Kafka (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Apache Pig (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Apache Spark (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: ASP .NET with C# (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: ASP.NET 4.5. Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,False,False,E,['E'],Individual Test Solutions,['Assessment Exercises'],['General'],Assessment Name: Assessment and Development Center Exercises. Assessment Type: Assessment Exercises. Assessment Exercises assessment: Work-sample based assessment exercises. Suitable for roles such as General
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,False,False,S,['S'],Individual Test Solutions,['Simulations'],['General'],Assessment Name: Automata - Fix (New). Assessment Type: Simulations. Simulations assessment: Realistic simulations of job tasks. Suitable for roles such as General
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,False,False,S,['S'],Individual Test Solutions,['Simulations'],['General'],Assessment Name: Automata - SQL (New). Assessment Type: Simulations. Simulations assessment: Realistic simulations of job tasks. Suitable for roles such as General
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,False,False,S,['S'],Individual Test Solutions,['Simulations'],['General'],Assessment Name: Automata (New). Assessment Type: Simulations. Simulations assessment: Realistic simulations of job tasks. Suitable for roles such as General
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,False,False,S,['S'],Individual Test Solutions,['Simulations'],['General'],Assessment Name: Automata Data Science (New). Assessment Type: Simulations. Simulations assessment: Realistic simulations of job tasks. Suitable for roles such as General
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,False,False,S,['S'],Individual Test Solutions,['Simulations'],['General'],Assessment Name: Automata Data Science Pro (New). Assessment Type: Simulations. Simulations assessment: Realistic simulations of job tasks. Suitable for roles such as General
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,False,False,S,['S'],Individual Test Solutions,['Simulations'],['General'],Assessment Name: Automata Front End. Assessment Type: Simulations. Simulations assessment: Realistic simulations of job tasks. Suitable for roles such as General
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,False,False,S,['S'],Individual Test Solutions,['Simulations'],['General'],Assessment Name: Automata Pro (New). Assessment Type: Simulations. Simulations assessment: Realistic simulations of job tasks. Suitable for roles such as General
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,False,False,S,['S'],Individual Test Solutions,['Simulations'],['General'],Assessment Name: Automata Selenium. Assessment Type: Simulations. Simulations assessment: Realistic simulations of job tasks. Suitable for roles such as General
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Automation Anywhere RPA Development (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['Engineer'],Assessment Name: Automotive Engineering (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as Engineer
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Basic Biology (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,False,False,"S
K","['S', 'K']",Individual Test Solutions,"['Simulations', 'Knowledge & Skills']",['General'],"Assessment Name: Basic Computer Literacy (Windows 10) (New). Assessment Type: Simulations, Knowledge & Skills. Simulations assessment: Realistic simulations of job tasks. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General"
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Basic Statistics (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Biochemistry (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Biotech Lab Techniques (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: BizTalk (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Business Communication (adaptive). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Business Communications. Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: C Programming (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: C# Programming (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: C++ Programming (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Cardiology and Diabetes Management (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['Engineer'],Assessment Name: Ceramic Engineering (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as Engineer
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['Engineer'],Assessment Name: Chemical Engineering (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as Engineer
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Cisco AppDynamics (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['Engineer'],Assessment Name: Civil Engineering (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as Engineer
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Cloud Computing (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: COBOL Programming (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],['General'],Assessment Name: Computer Science (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as General
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,False,False,S,['S'],Individual Test Solutions,['Simulations'],['General'],Assessment Name: Contact Center Call Simulation (New). Assessment Type: Simulations. Simulations assessment: Realistic simulations of job tasks. Suitable for roles such as General
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,False,False,S,['S'],Individual Test Solutions,['Simulations'],['General'],Assessment Name: Conversational Multichat Simulation. Assessment Type: Simulations. Simulations assessment: Realistic simulations of job tasks. Suitable for roles such as General
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],"['Java Developer', 'Backend Engineer']","Assessment Name: Core Java (Advanced Level) (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as Java Developer, Backend Engineer"
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,False,False,K,['K'],Individual Test Solutions,['Knowledge & Skills'],"['Java Developer', 'Backend Engineer']","Assessment Name: Core Java (Entry Level) (New). Assessment Type: Knowledge & Skills. Knowledge & Skills assessment: Technical and functional knowledge assessment. Suitable for roles such as Java Developer, Backend Engineer"
